                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     95,               0.026963,               0.021496,               0.011639,              0.0010651,                0.72808,                0.68791,                0.72334,                0.47386,                0.79698,                0.60532,                0.70318,                0.42698,               0.037153,               0.031823,               0.010612,              0.0086975,               0.002245,               0.002245,               0.002245
                     96,               0.026753,               0.021419,               0.011464,              0.0014662,                0.77421,                0.68445,                0.72849,                0.47647,                0.74177,                0.65184,                0.70801,                0.42508,               0.037243,                0.03189,               0.010506,              0.0086422,              0.0021625,              0.0021625,              0.0021625
                     97,               0.026875,               0.021625,               0.011674,              0.0010678,                0.79659,                0.67405,                0.73281,                0.47701,                0.76225,                0.63642,                0.69159,                0.40115,               0.037274,               0.032645,               0.010378,              0.0097027,                0.00208,                0.00208,                0.00208
                     98,               0.026699,               0.021732,                0.01165,             0.00091599,                0.74236,                0.69708,                0.73347,                 0.4738,                0.77615,                0.61633,                0.69116,                 0.4086,               0.037205,               0.032512,               0.010616,               0.007513,              0.0019975,              0.0019975,              0.0019975
                     99,               0.026347,               0.021774,               0.011304,             0.00095099,                0.76693,                0.69825,                0.74379,                0.47449,                0.73108,                0.65425,                0.70855,                0.41816,               0.036982,               0.031708,               0.010382,                 0.0077,               0.001915,               0.001915,               0.001915
                    100,               0.025977,               0.021264,               0.011562,             0.00098875,                 0.7705,                0.71018,                 0.7422,                0.47852,                0.72564,                0.65831,                0.69426,                0.41804,                0.03706,               0.031218,               0.010616,              0.0080109,              0.0018325,              0.0018325,              0.0018325
                    101,               0.026191,               0.021273,               0.011302,              0.0011077,                0.77237,                0.68591,                0.73118,                0.47834,                 0.8226,                0.59566,                0.70076,                 0.4176,                0.03723,               0.031229,               0.010832,              0.0086803,                0.00175,                0.00175,                0.00175
                    102,               0.026518,               0.021382,               0.011664,              0.0011555,                0.78725,                 0.6916,                0.74018,                0.48554,                0.74708,                0.64406,                0.69525,                0.42126,               0.037496,               0.031776,               0.010368,              0.0089741,              0.0016675,              0.0016675,              0.0016675
                    103,               0.025558,               0.021127,               0.010989,              0.0011463,                0.78363,                0.68421,                0.74188,                0.47957,                0.76659,                0.64824,                0.70022,                0.41721,               0.036973,               0.031862,               0.010416,              0.0078125,               0.001585,               0.001585,               0.001585
                    104,               0.026168,               0.021432,               0.011159,             0.00088279,                0.83523,                0.68062,                0.74716,                0.49497,                  0.777,                0.65598,                0.70591,                0.43532,               0.036087,               0.031144,               0.010382,              0.0090179,              0.0015025,              0.0015025,              0.0015025
                    105,                 0.0257,               0.020969,               0.011056,             0.00090659,                0.78593,                0.70382,                0.75177,                0.49794,                0.74448,                0.66944,                0.71565,                0.43861,               0.036064,               0.031624,               0.010265,              0.0079231,                0.00142,                0.00142,                0.00142
